,artist_id,artist_name
1166,894087,马季
1167,4513,馒头
1168,4551,Mr.Trouble麻烦先生 
1169,1047242,毛晖
1170,4558,马洪波
1171,1181764,宁新兵
1172,1049302,南知
1173,4709,女美爱我
1174,1044082,怒江雨
1175,3732,罗百吉
1176,3735,卢学叡
1177,4079,林育群
1178,3751,刘浩龙
1179,4260,VEEZiE李魏西
1180,4573,Masta Mic
1181,4508,马德钟
1182,1124053,缪培琪
1183,1050345,Mc蛋蛋哥
1184,4606,马连良
1185,1193191,尼块
1186,1019003,Nic-BOOM
1187,1057272,安夕尔
1188,1049185,聂远
1189,797346,南宫家骏
1190,4214,龙飞
1191,4037,Lu1
1192,3991,黎允文
1193,4047,李志辉
1194,4533,马海生
1195,1132719,Mardan
1196,4494,马兆骏
1197,4548,梅兰芳
1198,1081733,Noise Happy
1199,4664,男子汉乐团
1200,1039097,農里
1201,1040024,念尔
1202,4680,倪青
1203,1047239,流浪的蛙蛙
1204,4032,李建傧
1205,3754,李春波
1206,3747,刘嘉亮
1207,3952,卢小旭
1208,896782,苗阜
1209,4501,马可
1210,1044031,MC腐朽
1211,4492,马念先
1212,1038128,Mc
1213,1155077,闹闹
1214,4674,倪皓
1215,1132441,Nickking
1216,4668,南梓轩
1217,4474,刘明汉
1218,3736,林宇中
1219,3827,李琛
1220,3776,陆毅
1221,4568,马志明
1222,1063055,Merdan&nbsp;Ablikim
1223,1049762,慕滨阳
1224,1043170,Mc冰鑫
1225,1043482,mAd-Noisy
1226,776277,No Artificial Colours
1227,1124300,聂子轩
1228,4659,Noiser luo
1229,1062006,南建雄
1230,865005,宁波
1231,3793,陆虎
1232,4188,刘佳
1233,3772,雷诺儿
